source_id,jci_name,description,sensor_type,unit,type,data_type,name
510_0_3005177,BioLib HW Pumps.MTWS-T,MTWS-T,medium temperature water supply temperature,64,Analog Input,0,NAE 10 N2 1 UNT003 MTWS T
510_0_3005179,BioLib HW Pumps.MTWR-T,MTWR-T,medium temperature water return temperature,64,Analog Input,0,NAE 10 N2 1 UNT003 MTWR T
510_0_3005201,BioLib HW Pumps P1 VFD.REFER,Reference,reference,98,Analog Input,0,NAE 10 N2 1 VND004 REFER
510_0_3005202,BioLib HW Pumps P1 VFD.FEEDBACK,Feedback,feedback,95,Analog Input,0,NAE 10 N2 1 VND004 FEEDBACK
510_0_3005203,BioLib HW Pumps P1 VFD.FREQ,Frequency Hz,frequency,27,Analog Input,0,NAE 10 N2 1 VND004 FREQ
510_0_3005204,BioLib HW Pumps P1 VFD.AMPS,Current Amps,current,3,Analog Input,0,NAE 10 N2 1 VND004 AMPS
510_0_3005205,BioLib HW Pumps P1 VFD.KW,Power Usage,power in kw,48,Analog Input,0,NAE 10 N2 1 VND004 KW
510_0_3005214,BioLib HW Pumps P2 VFD.REFER,Reference,reference,98,Analog Input,0,NAE 10 N2 1 VND006 REFER
510_0_3005215,BioLib HW Pumps P2 VFD.FEEDBACK,Feedback,feedback,95,Analog Input,0,NAE 10 N2 1 VND006 FEEDBACK
510_0_3005216,BioLib HW Pumps P2 VFD.FREQ,Frequency Hz,frequency,27,Analog Input,0,NAE 10 N2 1 VND006 FREQ
510_0_3005217,BioLib HW Pumps P2 VFD.AMPS,Current Amps,current,3,Analog Input,0,NAE 10 N2 1 VND006 AMPS
510_0_3005218,BioLib HW Pumps P2 VFD.KW,Power Usage,power in kw,48,Analog Input,0,NAE 10 N2 1 VND006 KW
510_0_3005227,BioLib AC-13 RF VFD.REFER,Reference,reference,98,Analog Input,0,NAE 10 N2 1 VND005 REFER
510_0_3005228,BioLib AC-13 RF VFD.FEEDBACK,Feedback,feedback,95,Analog Input,0,NAE 10 N2 1 VND005 FEEDBACK
510_0_3005229,BioLib AC-13 RF VFD.FREQ,Frequency Hz,frequency,27,Analog Input,0,NAE 10 N2 1 VND005 FREQ
510_0_3005230,BioLib AC-13 RF VFD.AMPS,Current Amps,current,3,Analog Input,0,NAE 10 N2 1 VND005 AMPS
510_0_3005231,BioLib AC-13 RF VFD.KW,Power Usage,power in kw,48,Analog Input,0,NAE 10 N2 1 VND005 KW
510_0_3005241,BioLib AC-12.MA-T,MA-T,mixed air temperature,95,Analog Input,0,NAE 10 N2 1 AHU001 MA T
510_0_3005242,BioLib AC-12.BSMT-BST,BSMNT-BST,unknown,95,Analog Input,0,NAE 10 N2 1 AHU001 BSMT BST
510_0_3005243,BioLib AC-12.SA-P,Static Press,supply air static pressure,58,Analog Input,0,NAE 10 N2 1 AHU001 SA P
510_0_3005244,BioLib AC-12.RA-T,Return Air Temp,return air temperature,64,Analog Input,0,NAE 10 N2 1 AHU001 RA T
510_0_3005246,BioLib AC-12.DA-T,Disch Air Temp,supply air temperature,64,Analog Input,0,NAE 10 N2 1 AHU001 DA T
510_0_3005247,BioLib AC-12.RA-H,RA-H,return air humidity,95,Analog Input,0,NAE 10 N2 1 AHU001 RA H
510_0_3005293,BioLib AC-13.MA-T,MA-T,mixed air temperature,95,Analog Input,0,NAE 10 N2 1 AHU002 MA T
510_0_3005294,BioLib AC-13.DA-T,Disch Air Temp,supply air temperature,64,Analog Input,0,NAE 10 N2 1 AHU002 DA T
510_0_3005295,BioLib AC-13.SA-P,Static Press,supply air static pressure,58,Analog Input,0,NAE 10 N2 1 AHU002 SA P
510_0_3005296,BioLib AC-13.RA-T,Return Air Temp,return air temperature,64,Analog Input,0,NAE 10 N2 1 AHU002 RA T
510_0_3005297,BioLib AC-13.LIB-BST,LIB-BST,unknown,58,Analog Input,0,NAE 10 N2 1 AHU002 LIB BST
510_0_3005298,BioLib AC-13.OA-H,OA-H,outside air humidity,95,Analog Input,0,NAE 10 N2 1 AHU002 OA H
510_0_3005299,BioLib AC-13.RA-H,RA-H,return air humidity,95,Analog Input,0,NAE 10 N2 1 AHU002 RA H
510_0_3006146,BioLib AC-15.DA-T,,supply air temperature,64,Analog Input,0,NAE 10 N2 2 DX001 DA T
510_0_3006148,BioLib AC-15.MA-T,,mixed air temperature,64,Analog Input,0,NAE 10 N2 2 DX001 MA T
510_0_3006150,BioLib AC-15.RA-T,,return air temperature,64,Analog Input,0,NAE 10 N2 2 DX001 RA T
510_0_3006152,BioLib AC-15.SA-SP,AC-15 STATIC PRESSURE,supply air static pressure,58,Analog Input,0,NAE 10 N2 2 DX001 SA SP
510_0_3006155,BioLib AC-15.CHW-DP,,chilled water differential pressure,56,Analog Input,0,NAE 10 N2 2 DX001 CHW DP
510_0_3006157,BioLib AC-15.BLD-SP1,,building static pressure,58,Analog Input,0,NAE 10 N2 2 DX001 BLD SP1
510_0_3006159,BioLib AC-15.BLD-SP2,,building static pressure,58,Analog Input,0,NAE 10 N2 2 DX001 BLD SP2
510_0_3006161,BioLib AC-15.BLD-SP3,,building static pressure,58,Analog Input,0,NAE 10 N2 2 DX001 BLD SP3
510_0_3006171,BioLib AC-15.OA-T,,outside air temperature,64,Analog Input,0,NAE 10 N2 2 DX001 OA T
510_0_3006172,BioLib AC-15.CHWR-T,,chilled water return temperature,64,Analog Input,0,NAE 10 N2 2 DX001 CHWR T
510_0_3006173,BioLib AC-15.ELECRM-T,,zone temperature,64,Analog Input,0,NAE 10 N2 2 DX001 ELECRM T
510_0_3006216,BioLib AC-15 SF VFD.Frequenc,Actual Frequency,frequency,27,Analog Input,0,NAE 10 N2 2 VND002 Frequenc
510_0_3006217,BioLib AC-15 SF VFD.SPD-CMD,Speed Command,speed command,98,Analog Input,0,NAE 10 N2 2 VND002 SPD CMD
510_0_3006218,BioLib AC-15 SF VFD.RPM,RPM,speed in rpm,104,Analog Input,0,NAE 10 N2 2 VND002 RPM
510_0_3006219,BioLib AC-15 SF VFD.Current,Current,current,3,Analog Input,0,NAE 10 N2 2 VND002 Current
510_0_3006220,BioLib AC-15 SF VFD.Kw,Power Usage,power in kw,48,Analog Input,0,NAE 10 N2 2 VND002 Kw
510_0_3006221,BioLib AC-15 SF VFD.KWH,Kilowatt Hours,energy in kwh,19,Analog Input,0,NAE 10 N2 2 VND002 KWH
510_0_3006222,BioLib AC-15 SF VFD.RUN-Time,Run Time,run time hours,71,Analog Input,0,NAE 10 N2 2 VND002 RUN Time
510_0_3006223,BioLib AC-15 SF VFD.Fault,Last Fault,last fault,95,Analog Input,0,NAE 10 N2 2 VND002 Fault
510_0_3006224,BioLib AC-15 SF VFD.MTR-TMP,Motor Temp,drive temperature,64,Analog Input,0,NAE 10 N2 2 VND002 MTR TMP
510_0_3006239,BioLib AC-15 RF VFD.Frequenc,Actual Frequency,frequency,27,Analog Input,0,NAE 10 N2 2 VND003 Frequenc
510_0_3006240,BioLib AC-15 RF VFD.SPD-CMD,Speed Command,speed command,98,Analog Input,0,NAE 10 N2 2 VND003 SPD CMD
510_0_3006241,BioLib AC-15 RF VFD.RPM,RPM,speed in rpm,104,Analog Input,0,NAE 10 N2 2 VND003 RPM
510_0_3006242,BioLib AC-15 RF VFD.Current,Current,current,3,Analog Input,0,NAE 10 N2 2 VND003 Current
510_0_3006243,BioLib AC-15 RF VFD.Kw,Power Usage,power in kw,48,Analog Input,0,NAE 10 N2 2 VND003 Kw
510_0_3006244,BioLib AC-15 RF VFD.KWH,Kilowatt Hours,energy in kwh,19,Analog Input,0,NAE 10 N2 2 VND003 KWH
510_0_3006245,BioLib AC-15 RF VFD.RUN-Time,Run Time,run time hours,71,Analog Input,0,NAE 10 N2 2 VND003 RUN Time
510_0_3006246,BioLib AC-15 RF VFD.Fault,Last Fault,last fault,95,Analog Input,0,NAE 10 N2 2 VND003 Fault
510_0_3006247,BioLib AC-15 RF VFD.MTR-TMP,Motor Temp,drive temperature,64,Analog Input,0,NAE 10 N2 2 VND003 MTR TMP
510_0_3006262,BioLib SF-1.ZN-T,SF-1 Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 UNT004 ZN T
510_0_3007641,DEAN-BST,,unknown,58,Analog Input,0,NAE 10 N2 1 AHU001 BEAN BST
510_0_3008056,BioLib AC-13.OA-T,,outside air temperature,64,Analog Input,0,NAE 10 N2 1 AHU002 OA T
510_0_3008154,BioLib HW Pumps.HW-DP,,hot water differential pressure,58,Analog Input,0,NAE 10 N2 1 UNT003 HW DP
510_0_3009406,CHWR-TMP,Chilled Water Return Temp,chilled water return temperature,64,Analog Input,0,NAE 10 N2 1 AHU001 AI1
510_0_3012834,BioLib 2ndFl RM-201.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA101 ACLG SP
510_0_3012835,BioLib 2ndFl RM-201.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA101 AHTG SP
510_0_3012840,BioLib 2ndFl RM-201.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA101 DMPRPOS
510_0_3012848,BioLib 2ndFl RM-201.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA101 SA VP
510_0_3012850,BioLib 2ndFl RM-201.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA101 SUPFLOW
510_0_3012852,BioLib 2ndFl RM-201.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA101 WC ADJ
510_0_3012853,BioLib 2ndFl RM-201.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA101 ZN T
510_0_3012854,BioLib 2ndFl RM-203.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA102 ACLG SP
510_0_3012855,BioLib 2ndFl RM-203.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA102 AHTG SP
510_0_3012860,BioLib 2ndFl RM-203.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA102 DMPRPOS
510_0_3012868,BioLib 2ndFl RM-203.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA102 SA VP
510_0_3012870,BioLib 2ndFl RM-203.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA102 SUPFLOW
510_0_3012872,BioLib 2ndFl RM-203.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA102 WC ADJ
510_0_3012873,BioLib 2ndFl RM-203.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA102 ZN T
510_0_3012874,BioLib 1stFl RM-111.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA103 ACLG SP
510_0_3012875,BioLib 1stFl RM-111.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA103 AHTG SP
510_0_3012880,BioLib 1stFl RM-111.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA103 DMPRPOS
510_0_3012888,BioLib 1stFl RM-111.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA103 SA VP
510_0_3012890,BioLib 1stFl RM-111.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA103 SUPFLOW
510_0_3012892,BioLib 1stFl RM-111.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA103 WC ADJ
510_0_3012893,BioLib 1stFl RM-111.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA103 ZN T
510_0_3012894,BioLib 2ndFl RM-204.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA104 ACLG SP
510_0_3012895,BioLib 2ndFl RM-204.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA104 AHTG SP
