source_id,jci_name,description,sensor_type,sensor_error,unit,type,data_type,name
557_0_3001189,BH.1STFLR.RM-1511.VAV-5.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 5 ACTCLG SP
557_0_3001203,BH.1STFLR.RM-1502.VAV-8.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 8 ACTCLG SP
557_0_3001217,BH.1STFLR.RM-1506.VAV-10.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 57 N2 1 VAV 10 ACTCLG SP
607_2_3000068,BONNER.1ST-FLR.RM-1106.VAV-1106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH3 SAV 004 ACTCLG STPT
607_2_3000085,BONNER.1ST-FLR.RM-1241.VAV-1241.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 005 ACTCLG STPT
607_2_3000102,BONNER.1ST-FLR.RM-1005.VAV-1005.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 006 ACTCLG STPT
607_2_3000119,BONNER.1ST-FLR.RM-C1000.VAV-C1000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 007 ACTCLG STPT
607_2_3000136,BONNER.1ST-FLR.RM-1449A.VAV-1449A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 008 ACTCLG STPT
607_2_3000153,BONNER.1ST-FLR.RM-1425.VAV-1425.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 009 ACTCLG STPT
607_2_3000170,BONNER.1ST-FLR.RM-1449B.VAV-1449B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 010 ACTCLG STPT
