source_id,jci_name,description,sensor_type,sensor_type_error,unit,type,data_type,name
519_1_3000657,CWP1-VFD.ACC-TIME,Acceleration Time,acceleration time,,95,Analog Output,1,NAE 19 N2 1 VND 008 ACC TIME
519_1_3000687,CWP2-VFD.ACC-TIME,Acceleration Time,acceleration time,,95,Analog Output,1,NAE 19 N2 1 VND 009 ACC TIME
568_0_3003183,BSB.N5THFLR.NE-CORR.VAV-1.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 1 ACTCLG SP
568_0_3003211,BSB.N5THFLR.RM-5028.VAV-10.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 10 ACTCLG SP
568_0_3003230,BSB.N5THFLR.RM-5046.VAV-11.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 11 ACTCLG SP
568_0_3003249,BSB.N5THFLR.VAV-5NE1.VAV-12.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 12 ACTCLG SP
568_0_3003271,BSB.N5THFLR.RM-5024.VAV-13.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 13 ACTCLG SP
568_0_3003290,BSB.N5THFLR.RM-5022.VAV-14.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 14 ACTCLG SP
568_0_3003309,BSB.N5THFLR.VAV-5SE.VAV-15.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 15 ACTCLG SP
568_0_3003331,BSB.N5THFLR.MID-CORR.VAV-16.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 16 ACTCLG SP
568_0_3003358,BSB.N5THFLR.RM-5020.VAV-17.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 17 ACTCLG SP
568_0_3003377,BSB.N5THFLR.RM-5018.VAV-18.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 18 ACTCLG SP
568_0_3003396,BSB.N5THFLR.RM-5015.VAV-19.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 19 ACTCLG SP
568_0_3003415,BSB.N5THFLR.RM-5046B.VAV-2.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 2 ACTCLG SP
568_0_3003434,BSB.N5THFLR.RM-5014.VAV-20.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 20 ACTCLG SP
